L1_ItemNumber,L1_ItemDescription,L1_ItemType,L1_LotNumber,L1_Job,L1_JobStatus,L2_Quantity,L2_ItemNumber,L2_ItemDescription,L2_ItemType,L2_LotNumber,L2_Job,L2_JobStatus,L3_Quantity,L3_ItemNumber,L3_ItemDescription,L3_ItemType,L3_LotNumber,L3_Job,L3_JobStatus,L4_Quantity,L4_ItemNumber,L4_ItemDescription,L4_ItemType,L4_LotNumber,L4_Job,L4_JobStatus,L5_Quantity,L5_ItemNumber,L5_ItemDescription,L5_ItemType,L5_LotNumber
UL669134MZ,unavailable,Finished Good,WTK0Q58,WTK0Q58,Closed,19,GV32235T5I,Helogale undulata,Sub Assembly,VHJ5CYF,HAP9NK6,Complete,91,JZ187GWLN4,Terrapene carolina,Sub Assembly,HAP9NK6,NEJOE9K,Unreleased,64,PF066W68EV,Ursus americanus,Sub Assembly,NEJOE9K,Q4GT3TN,Unreleased,41,OY859U6V04,Chelodina longicollis,Raw Material,Q4GT3TN
IZ767GIG18,Eunectes sp.,Finished Good,NHOGRNR,NHOGRNR,Closed,61,UJ1902SZ74,Sula nebouxii,Sub Assembly,ZICK3FX,FT79ZVS,Released,26,JW592Q3SL6,Capreolus capreolus,Sub Assembly,FT79ZVS,571KNL9,Unreleased,68,ZX379Y4EFS,Libellula quadrimaculata,Sub Assembly,571KNL9,A333ENO,Released,7,MS563MNYLT,Ratufa indica,Raw Material,A333ENO
XX842ECD1B,Eumetopias jubatus,Finished Good,R7P9DOQ,R7P9DOQ,Closed,60,AT0971JPEB,Ramphastos tucanus,Sub Assembly,ROOUFQ2,36K7PGA,Unreleased,61,FH43868JVJ,Phasianus colchicus,Sub Assembly,36K7PGA,WO6UNOE,Released,11,QN363KMOZL,Cebus nigrivittatus,Sub Assembly,WO6UNOE,PWYLUST,Released,100,OI46282846,Ephippiorhynchus mycteria,Raw Material,PWYLUST
MZ441ELE73,Ardea golieth,Finished Good,57AWNYN,57AWNYN,Complete,87,ZO213ADVAL,Eubalaena australis,Sub Assembly,K0NH256,JKEVRB3,Released,16,SU2488GBJT,Ursus arctos,Sub Assembly,JKEVRB3,WCOJTKH,Closed,56,SC827Z8CCC,Ctenophorus ornatus,Sub Assembly,WCOJTKH,STFSGZK,Unreleased,91,JV8609YKZJ,Acrobates pygmaeus,Raw Material,STFSGZK
ItemNumber,ItemDescription,Finished Good,Z2MGFQT,Z2MGFQT,Released,26,FU119WGN5I,Cynictis penicillata,Sub Assembly,24DPL6H,LUBXI4Y,Unreleased,81,ML469SF2K2,Halcyon smyrnesis,Sub Assembly,LUBXI4Y,J0IFANM,Complete,73,ZI907QVAXW,Stenella coeruleoalba,Sub Assembly,J0IFANM,VGLUZU2,Complete,47,YM034X49VU,Colobus guerza,Raw Material,VGLUZU2
UL669134MZ,unavailable,Finished Good,H7O2NIU,H7O2NIU,Closed,60,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,X8G46V9,NWC8JTO,Complete,38,PL3630RQA1,Tachybaptus ruficollis,Sub Assembly,NWC8JTO,C9O5LIV,Closed,15,MX173IQHAK,Anitibyx armatus,Sub Assembly,C9O5LIV,A2MLLUK,Closed,7,YQ1288BE1G,Agouti paca,Raw Material,A2MLLUK
IZ767GIG18,Eunectes sp.,Finished Good,HY6SY2I,HY6SY2I,Closed,45,NL479YC3PM,Macropus agilis,Sub Assembly,B5ND809,SOVSMI1,Complete,98,GK022DF4QW,Lasiodora parahybana,Sub Assembly,SOVSMI1,NANU7KA,Unreleased,45,MW8402HQBF,Tayassu tajacu,Sub Assembly,NANU7KA,QZDLKKC,Closed,47,YG121ZNG2Z,Acanthaster planci,Raw Material,QZDLKKC
XX842ECD1B,Eumetopias jubatus,Finished Good,17M6M4W,17M6M4W,Released,95,IX83928QKZ,Genetta genetta,Sub Assembly,B0193AB,61TYF6J,Closed,54,TT307O6LI0,Certotrichas paena,Sub Assembly,61TYF6J,NTTPGVE,Released,91,YB461PZSHO,Gekko gecko,Sub Assembly,NTTPGVE,2DRM7RA,Complete,99,WX798CPKRO,Aquila chrysaetos,Raw Material,2DRM7RA
MZ441ELE73,Ardea golieth,Finished Good,ULJQY9R,ULJQY9R,Complete,72,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,2VRVDZN,QB8YOWJ,Closed,10,CO124ZSD0O,Spilogale gracilis,Sub Assembly,QB8YOWJ,RN68KBE,Unreleased,68,RR7669RZHO,Carduelis uropygialis,Sub Assembly,RN68KBE,UPNOGKC,Closed,4,HA028O4CZS,Pterocles gutturalis,Raw Material,UPNOGKC
VG5951YMIZ,Phalacrocorax carbo,Finished Good,8CRLWO3,8CRLWO3,Complete,42,ZT17074KDS,Neophron percnopterus,Sub Assembly,A6TREZD,4UDHEE0,Complete,3,FC438KLT2J,Pterocles gutturalis,Sub Assembly,4UDHEE0,CM91R8D,Unreleased,64,TF7133BDWI,Hippotragus niger,Sub Assembly,CM91R8D,TB77WFB,Unreleased,41,NM698GEG30,Eudyptula minor,Raw Material,TB77WFB
UL669134MZ,unavailable,Finished Good,KB8XT2N,KB8XT2N,Complete,1,HI221W99HA,Manouria emys,Sub Assembly,MQG43JS,NEER1C3,Complete,13,HP871D4F83,Callipepla gambelii,Sub Assembly,NEER1C3,2TZIYHS,Closed,15,SO715NUEBE,Catharacta skua,Sub Assembly,2TZIYHS,42KK5ZM,Released,32,KF060MRAID,Uraeginthus granatina,Raw Material,42KK5ZM
IZ767GIG18,Eunectes sp.,Finished Good,RUSGL8V,RUSGL8V,Released,23,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,8IEMIJ2,M98VB8S,Closed,64,ZD552B4JBM,Coluber constrictor foxii,Sub Assembly,M98VB8S,6NFFOMF,Closed,59,AE370XJTO6,Haematopus ater,Sub Assembly,6NFFOMF,NQ7SVYU,Unreleased,84,KN184SI08Y,Plegadis falcinellus,Raw Material,NQ7SVYU
XX842ECD1B,Eumetopias jubatus,Finished Good,UFP6AGO,UFP6AGO,Released,61,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,7SK4EY8,4KLL5HA,Closed,90,OJ2250C54Q,Dromaeus novaehollandiae,Sub Assembly,4KLL5HA,TKTM50Y,Closed,65,YE8162IPNQ,Passer domesticus,Sub Assembly,TKTM50Y,WLLDTE0,Closed,50,EZ449LMNPD,Carduelis uropygialis,Raw Material,WLLDTE0
MZ441ELE73,Ardea golieth,Finished Good,VNABJC0,VNABJC0,Unreleased,19,QV741IG248,Haliaetus vocifer,Sub Assembly,7Z1KVX2,0GV1L88,Unreleased,36,OI8633SWUT,Coendou prehensilis,Sub Assembly,0GV1L88,RVD3YIX,Complete,62,VW9997G749,Pseudoleistes virescens,Sub Assembly,RVD3YIX,3N4MOOG,Complete,74,RD629M92VU,Lama guanicoe,Raw Material,3N4MOOG
VG5951YMIZ,Phalacrocorax carbo,Finished Good,4ROE0MY,4ROE0MY,Released,54,IN009KUD12,Francolinus swainsonii,Sub Assembly,A61LFTG,5CAHO8H,Complete,70,DT520ZOXYB,Macropus eugenii,Sub Assembly,5CAHO8H,FBI5B5G,Unreleased,57,PU903Z0IKE,Naja haje,Sub Assembly,FBI5B5G,WJRCK01,Closed,70,XK515KLFFZ,Odocoileus hemionus,Raw Material,WJRCK01
UL669134MZ,unavailable,Finished Good,XTRQIKT,XTRQIKT,Unreleased,28,GV32235T5I,Helogale undulata,Sub Assembly,X2MVXIS,GGZSYNN,Complete,18,RG598ASDO7,Trachyphonus vaillantii,Sub Assembly,GGZSYNN,44RJJ2B,Released,68,XX934358Z1,Axis axis,Sub Assembly,44RJJ2B,9DPMC4A,Complete,68,QH7551PKLO,Panthera pardus,Raw Material,9DPMC4A
IZ767GIG18,Eunectes sp.,Finished Good,IFUCNWN,IFUCNWN,Released,75,UJ1902SZ74,Sula nebouxii,Sub Assembly,N32WDUY,YIGBHTZ,Complete,37,DH031YQ31Y,Junonia genoveua,Sub Assembly,YIGBHTZ,DM9OYCM,Complete,55,KI037SUK4W,Lycosa godeffroyi,Sub Assembly,DM9OYCM,D3KHRLI,Unreleased,21,VD187U4UFC,Pitangus sulphuratus,Raw Material,D3KHRLI
XX842ECD1B,Eumetopias jubatus,Finished Good,J1OKT8P,J1OKT8P,Released,45,AT0971JPEB,Ramphastos tucanus,Sub Assembly,MQES8AK,5K5DFOO,Unreleased,58,XW73487FO8,Bubo virginianus,Sub Assembly,5K5DFOO,QMUGEWG,Released,18,AY956QCMIP,Cervus canadensis,Sub Assembly,QMUGEWG,OT1YG46,Closed,0,UT208LC35B,Felis concolor,Raw Material,OT1YG46
MZ441ELE73,Ardea golieth,Finished Good,00Q8DQF,00Q8DQF,Complete,80,ZO213ADVAL,Eubalaena australis,Sub Assembly,5THMZZ9,086AQOV,Complete,2,WR515MRIQX,Fregata magnificans,Sub Assembly,086AQOV,RJQHJT4,Closed,38,EK529QLPZ5,Iguana iguana,Sub Assembly,RJQHJT4,X3QR966,Unreleased,97,AO986EPFCW,Bassariscus astutus,Raw Material,X3QR966
ItemNumber,ItemDescription,Finished Good,2JGRNZU,2JGRNZU,Complete,35,FU119WGN5I,Cynictis penicillata,Sub Assembly,2ZP2SRV,23OJAUW,Closed,42,DW699P5QVC,Pelecans onocratalus,Sub Assembly,23OJAUW,QHCXNKV,Unreleased,61,HZ97225IIJ,Myrmecophaga tridactyla,Sub Assembly,QHCXNKV,TU2DBGD,Closed,97,NG42328OCK,Coluber constrictor,Raw Material,TU2DBGD
UL669134MZ,unavailable,Finished Good,8D51RID,8D51RID,Released,93,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,XFOQTQ8,CB15FKY,Closed,40,AJ650FB45L,Alcelaphus buselaphus caama,Sub Assembly,CB15FKY,WK5BUAR,Unreleased,63,NM1680AACN,Anas bahamensis,Sub Assembly,WK5BUAR,05F08SV,Unreleased,98,FM324H2KZD,Varanus sp.,Raw Material,05F08SV
IZ767GIG18,Eunectes sp.,Finished Good,TYRIUN5,TYRIUN5,Closed,45,NL479YC3PM,Macropus agilis,Sub Assembly,KGMDQQC,JQUANB7,Unreleased,7,TR723MA1YJ,Platalea leucordia,Sub Assembly,JQUANB7,J6F8YIR,Unreleased,99,SD292L8LS3,Meleagris gallopavo,Sub Assembly,J6F8YIR,VQA11SA,Complete,65,AB985HIVJ7,Bubulcus ibis,Raw Material,VQA11SA
XX842ECD1B,Eumetopias jubatus,Finished Good,NEJOE9K,NEJOE9K,Closed,16,IX83928QKZ,Genetta genetta,Sub Assembly,Q4GT3TN,E6OF1V7,Closed,6,GM908GVWQ5,Choloepus hoffmani,Sub Assembly,E6OF1V7,QIPE84I,Unreleased,74,IO653QF8SB,Felis caracal,Sub Assembly,QIPE84I,KQWOKA6,Released,1,TY377P83A4,Xerus sp.,Raw Material,KQWOKA6
MZ441ELE73,Ardea golieth,Finished Good,571KNL9,571KNL9,Complete,32,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,A333ENO,DE5ZBX7,Closed,63,WM417NWVWW,Vombatus ursinus,Sub Assembly,DE5ZBX7,HZ5NE8A,Released,22,QV284F8GIC,Psophia viridis,Sub Assembly,HZ5NE8A,A1WRCUM,Unreleased,68,ZY874W22EB,Nucifraga columbiana,Raw Material,A1WRCUM
VG5951YMIZ,Phalacrocorax carbo,Finished Good,WO6UNOE,WO6UNOE,Released,76,ZT17074KDS,Neophron percnopterus,Sub Assembly,PWYLUST,HF4LRZM,Released,20,YQ530V4QMY,Terrapene carolina,Sub Assembly,HF4LRZM,DGWMXJ9,Released,67,OC585W9D84,Eumetopias jubatus,Sub Assembly,DGWMXJ9,9Y9MDJE,Closed,26,UF677AXQP8,Felis caracal,Raw Material,9Y9MDJE
UL669134MZ,unavailable,Finished Good,WCOJTKH,WCOJTKH,Closed,2,HI221W99HA,Manouria emys,Sub Assembly,STFSGZK,ZJVCQV4,Closed,12,MG684CDYQL,Papio ursinus,Sub Assembly,ZJVCQV4,F930OAW,Closed,79,LL091ATGMR,Trichosurus vulpecula,Sub Assembly,F930OAW,ZMG8YGY,Closed,18,PC950LY98Z,Francolinus coqui,Raw Material,ZMG8YGY
IZ767GIG18,Eunectes sp.,Finished Good,J0IFANM,J0IFANM,Complete,22,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,VGLUZU2,LAC0T26,Released,26,SD943E74A0,Castor canadensis,Sub Assembly,LAC0T26,XY1WQ6N,Unreleased,21,UR747UXNUW,Streptopelia senegalensis,Sub Assembly,XY1WQ6N,PFKWZ2V,Complete,8,KS523BWPJ0,Aquila chrysaetos,Raw Material,PFKWZ2V
XX842ECD1B,Eumetopias jubatus,Finished Good,C9O5LIV,C9O5LIV,Complete,82,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,A2MLLUK,TXS2Z9F,Closed,75,QX118174TB,Dusicyon thous,Sub Assembly,TXS2Z9F,2T2SQ7A,Released,55,EI3293D0FU,Lasiorhinus latifrons,Sub Assembly,2T2SQ7A,AK2HFP6,Closed,42,WB414FVP5M,Phylurus milli,Raw Material,AK2HFP6
MZ441ELE73,Ardea golieth,Finished Good,NANU7KA,NANU7KA,Complete,59,QV741IG248,Haliaetus vocifer,Sub Assembly,QZDLKKC,PMPY1RU,Closed,25,FI450JPZCV,Macropus eugenii,Sub Assembly,PMPY1RU,819SRC1,Released,91,VQ561U75SV,Libellula quadrimaculata,Sub Assembly,819SRC1,3DU0CCQ,Released,51,GC772RAG9H,Anitibyx armatus,Raw Material,3DU0CCQ
VG5951YMIZ,Phalacrocorax carbo,Finished Good,NTTPGVE,NTTPGVE,Released,67,IN009KUD12,Francolinus swainsonii,Sub Assembly,2DRM7RA,2GADGDV,Unreleased,97,HE967K2P62,Felis wiedi or Leopardus weidi,Sub Assembly,2GADGDV,MHU5RYB,Complete,84,TF297QMMMQ,Canis lupus,Sub Assembly,MHU5RYB,CWMEHHR,Unreleased,40,QU420U41L6,Cordylus giganteus,Raw Material,CWMEHHR
UL669134MZ,unavailable,Finished Good,RN68KBE,RN68KBE,Closed,80,GV32235T5I,Helogale undulata,Sub Assembly,UPNOGKC,44MWZIU,Released,90,UC95605J9C,Macropus robustus,Sub Assembly,44MWZIU,BUQ5A9A,Complete,57,TH529NC6LZ,Anas bahamensis,Sub Assembly,BUQ5A9A,ZL9E7NJ,Unreleased,12,MB886QYFWC,Eumetopias jubatus,Raw Material,ZL9E7NJ
IZ767GIG18,Eunectes sp.,Finished Good,CM91R8D,CM91R8D,Closed,14,UJ1902SZ74,Sula nebouxii,Sub Assembly,TB77WFB,4M9VWYV,Complete,65,JU321C82FC,Pycnonotus barbatus,Sub Assembly,4M9VWYV,7TY7U5A,Complete,25,TE151W98P3,Crax sp.,Sub Assembly,7TY7U5A,RGW74QS,Released,42,JR280485M3,Trachyphonus vaillantii,Raw Material,RGW74QS
XX842ECD1B,Eumetopias jubatus,Finished Good,2TZIYHS,2TZIYHS,Unreleased,90,AT0971JPEB,Ramphastos tucanus,Sub Assembly,42KK5ZM,ZJT6POP,Complete,14,ET674G0JJH,Casmerodius albus,Sub Assembly,ZJT6POP,147EFSQ,Unreleased,54,KZ290PQILX,Haliaeetus leucocephalus,Sub Assembly,147EFSQ,VSC0NSG,Released,18,VR2467FQDB,Macropus eugenii,Raw Material,VSC0NSG
MZ441ELE73,Ardea golieth,Finished Good,6NFFOMF,6NFFOMF,Unreleased,59,ZO213ADVAL,Eubalaena australis,Sub Assembly,NQ7SVYU,7WZBJJN,Released,57,QW9998X5WK,Myotis lucifugus,Sub Assembly,7WZBJJN,DS7KVSN,Complete,53,YT562ONJJU,Corythornis cristata,Sub Assembly,DS7KVSN,9K0NGOV,Unreleased,24,BI085HY1DV,Cacatua tenuirostris,Raw Material,9K0NGOV
ItemNumber,ItemDescription,Finished Good,TKTM50Y,TKTM50Y,Complete,1,FU119WGN5I,Cynictis penicillata,Sub Assembly,WLLDTE0,N64I7CY,Closed,57,TK143QJ0LV,Trachyphonus vaillantii,Sub Assembly,N64I7CY,CDKFOM5,Released,27,OC581U5LLW,Otaria flavescens,Sub Assembly,CDKFOM5,OJMME67,Released,59,KJ308J1OO9,Tetracerus quadricornis,Raw Material,OJMME67
UL669134MZ,unavailable,Finished Good,RVD3YIX,RVD3YIX,Unreleased,72,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,3N4MOOG,6RQ3W8B,Complete,84,UA700ZHN5F,Buteo regalis,Sub Assembly,6RQ3W8B,UD4XYY4,Released,86,UD35166Y5H,Lepus townsendii,Sub Assembly,UD4XYY4,SVK0P90,Complete,83,NG329PNHZ5,Hystrix cristata,Raw Material,SVK0P90
IZ767GIG18,Eunectes sp.,Finished Good,FBI5B5G,FBI5B5G,Released,11,NL479YC3PM,Macropus agilis,Sub Assembly,WJRCK01,9SA5GRO,Unreleased,51,TR202OHRJ8,Zosterops pallidus,Sub Assembly,9SA5GRO,RXYJT63,Unreleased,43,EZ701Z5IE4,Plocepasser mahali,Sub Assembly,RXYJT63,8H89BFU,Closed,17,JP611IU170,Speotyte cuniculata,Raw Material,8H89BFU
XX842ECD1B,Eumetopias jubatus,Finished Good,44RJJ2B,44RJJ2B,Released,24,IX83928QKZ,Genetta genetta,Sub Assembly,9DPMC4A,CQSLZJN,Released,29,RY8076ADQX,Laniarius ferrugineus,Sub Assembly,CQSLZJN,DLZ1AA4,Released,98,XS587R8I53,Taxidea taxus,Sub Assembly,DLZ1AA4,9VPMQT8,Released,23,DA437GQMFC,Merops nubicus,Raw Material,9VPMQT8
MZ441ELE73,Ardea golieth,Finished Good,DM9OYCM,DM9OYCM,Unreleased,39,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,D3KHRLI,ZKNHYUQ,Released,86,ZF254JDBWA,Papio cynocephalus,Sub Assembly,ZKNHYUQ,HC5QSB1,Unreleased,14,WT6055IQYF,Equus hemionus,Sub Assembly,HC5QSB1,AWT9382,Closed,70,MA419877Y2,Threskionis aethiopicus,Raw Material,AWT9382
VG5951YMIZ,Phalacrocorax carbo,Finished Good,QMUGEWG,QMUGEWG,Closed,88,ZT17074KDS,Neophron percnopterus,Sub Assembly,OT1YG46,5RCFEAN,Closed,13,HT187TM346,Melophus lathami,Sub Assembly,5RCFEAN,OGD0WH6,Unreleased,40,NP409G7T15,Dipodomys deserti,Sub Assembly,OGD0WH6,KOPRBKQ,Released,16,KG59765S6Q,Trachyphonus vaillantii,Raw Material,KOPRBKQ
UL669134MZ,unavailable,Finished Good,RJQHJT4,RJQHJT4,Released,88,HI221W99HA,Manouria emys,Sub Assembly,X3QR966,J5H2S0H,Complete,60,AN106VMB9Z,Meleagris gallopavo,Sub Assembly,J5H2S0H,HBAL1KF,Released,43,ZA711UPXQB,Drymarchon corias couperi,Sub Assembly,HBAL1KF,233UKMR,Released,33,MP042WB494,Graspus graspus,Raw Material,233UKMR
IZ767GIG18,Eunectes sp.,Finished Good,QHCXNKV,QHCXNKV,Released,37,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,TU2DBGD,OQ2O30Q,Unreleased,1,FF3610NQ0W,Actophilornis africanus,Sub Assembly,OQ2O30Q,0QTJY8X,Unreleased,47,EQ141CID4D,Chlidonias leucopterus,Sub Assembly,0QTJY8X,U4JHZ6O,Closed,29,HQ705DRQUY,Coluber constrictor,Raw Material,U4JHZ6O
XX842ECD1B,Eumetopias jubatus,Finished Good,WK5BUAR,WK5BUAR,Closed,29,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,05F08SV,RJI61OR,Closed,98,BS508XXHRD,Spermophilus richardsonii,Sub Assembly,RJI61OR,0JJHOQ7,Unreleased,68,DO240TGBO5,Kobus defassa,Sub Assembly,0JJHOQ7,7NZ7G72,Closed,72,CR0809Y2NF,Dasyurus maculatus,Raw Material,7NZ7G72
MZ441ELE73,Ardea golieth,Finished Good,J6F8YIR,J6F8YIR,Closed,42,QV741IG248,Haliaetus vocifer,Sub Assembly,VQA11SA,EMP4W84,Closed,27,EU290A8ENU,Ovis ammon,Sub Assembly,EMP4W84,32E0KHW,Closed,2,PB0421WBIP,Francolinus coqui,Sub Assembly,32E0KHW,NV8C8I1,Unreleased,81,QU9472WOSY,Meles meles,Raw Material,NV8C8I1
VG5951YMIZ,Phalacrocorax carbo,Finished Good,QIPE84I,QIPE84I,Closed,88,IN009KUD12,Francolinus swainsonii,Sub Assembly,KQWOKA6,9C6EBD0,Closed,74,ES187TFWQ2,Tursiops truncatus,Sub Assembly,9C6EBD0,SA2HQYO,Closed,66,RE410HA06V,Columba palumbus,Sub Assembly,SA2HQYO,XLQ9CBH,Unreleased,1,UF476UZDO0,Mazama gouazoubira,Raw Material,XLQ9CBH
UL669134MZ,unavailable,Finished Good,HZ5NE8A,HZ5NE8A,Unreleased,76,GV32235T5I,Helogale undulata,Sub Assembly,A1WRCUM,D7F0RJR,Released,43,JZ187GWLN4,Terrapene carolina,Sub Assembly,D7F0RJR,0EL15PB,Released,12,TW391QL8EW,Charadrius tricollaris,Sub Assembly,0EL15PB,9WKI0YR,Complete,62,QD462AGUIT,Macropus agilis,Raw Material,9WKI0YR
IZ767GIG18,Eunectes sp.,Finished Good,DGWMXJ9,DGWMXJ9,Closed,23,UJ1902SZ74,Sula nebouxii,Sub Assembly,9Y9MDJE,JMUYFQJ,Closed,70,JW592Q3SL6,Capreolus capreolus,Sub Assembly,JMUYFQJ,74IL1HQ,Complete,29,WH2305KAI0,Columba palumbus,Sub Assembly,74IL1HQ,7XKPT0Q,Closed,81,TQ2433W3EC,Bubalornis niger,Raw Material,7XKPT0Q
XX842ECD1B,Eumetopias jubatus,Finished Good,F930OAW,F930OAW,Unreleased,0,AT0971JPEB,Ramphastos tucanus,Sub Assembly,ZMG8YGY,TL5A7W8,Closed,37,FH43868JVJ,Phasianus colchicus,Sub Assembly,TL5A7W8,W8GNNV1,Closed,81,QK16402Z38,Neotis denhami,Sub Assembly,W8GNNV1,MYNGP44,Complete,3,UB548STMYX,Echimys chrysurus,Raw Material,MYNGP44
MZ441ELE73,Ardea golieth,Finished Good,XY1WQ6N,XY1WQ6N,Complete,81,ZO213ADVAL,Eubalaena australis,Sub Assembly,PFKWZ2V,6J7YG55,Complete,58,SU2488GBJT,Ursus arctos,Sub Assembly,6J7YG55,H0A1PTH,Released,53,FX536A83P7,Bassariscus astutus,Sub Assembly,H0A1PTH,58DKU8X,Closed,68,IZ243JMTEP,Gymnorhina tibicen,Raw Material,58DKU8X
